x,y
30,5
32,7
34,8
35,7
37,8
38,7
40,8
42,7
44,7
44,6
46,5
48,6
49,9
51,11
52,13
53,14
54,15
55,15
56,16
56,17
56,18
57,19
57,20
58,21
57,22
56,23
54,22
52,24
53,26
53,28
52,28
50,28
50,30
51,32
53,33
55,33
57,33
59,32
60,31
61,30
63,28
64,28
66,28
68,28
71,28
73,29
73,31
72,32
74,33
75,33
76,34
78,33
80,34
82,34
83,36
84,37
84,40
85,41
85,43
84,45
83,46
85,48
86,50
86,51
87,52
87,54
89,55
90,55
92,57
94,59
95,61
96,63
96,65
96,69
95,72
94,76
92,77
90,79
90,82
92,84
92,86
93,87
93,89
94,90
94,92
94,93
95,94
95,95
